Qty,DNP,Value,Parts,MFG,MPN,PN-DK,Device,Package,Description,
2,,22pF,"C2, C4",Murata Electronics North America,GQM1875C2E220JB12D,490-16699-1-ND,C-USC0603,C0603,CAP CER 22PF 250V NP0 0603,
5,,100n,"C9, C10, C11, C5, C15",AVX Corporation,06035C104K4Z4A,478-10679-1-ND,C-USC0603,C0603,CAP CER 0.1UF 50V X7R 0603,
4,,1uF,"C1, C7, C12, C14",TDK Corporation,C1608X7R1C105M080AC,445-5131-1-ND,C-USC0603,C0603,CAP CER 1UF 16V X7R 0603,
4,,10uF,"C3, C6, C8, C13",Murata Electronics North America,GRM21BR61C106KE15K,490-6473-1-ND,C-USC0805,C0805,CAP CER 10UF 16V X5R 0805,
8,,150,"R5, R6, R9, R10, R11, R12, R13, R14",Yageo,RC0603FR-07150RL,311-150HRCT-ND,R-US_R0603,R0603,RES SMD 150 OHM 1% 1/10W 0603,
12,,1k,"R1, R2, R7, R15, R16, R17, R18, R19, R20, R21, R22, R23",Yageo,RC0603FR-071KL,311-1.00KHRCT-ND,R-US_R0603,R0603,RES SMD 1K OHM 1% 1/10W 0603,
3,,3.3k,"R3, R4, R8",Yageo,RC0603FR-073K3L,311-3.30KHRCT-ND,R-US_R0603,R0603,RES SMD 3.3K OHM 1% 1/10W 0603,
1,,500mA,F1,Bel Fuse Inc.,0ZCK0050FF2E,507-1813-1-ND,R-US_R0805,R0805,PTC RESET FUSE 6V 500MA 0805,
1,,MBR120,D1,ON Semiconductor,MBR120VLSFT1G,MBR120VLSFT1GOSCT-ND,DIODE-SCHOTTKYSOD-123,SOD-123,DIODE SCHOTTKY 20V 1A SOD123FL,
2,,Green,"HB, L1",Lite-On Inc.,LTST-C170GKT,160-1179-1-ND,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,LED GREEN CLEAR SMD,
1,,Green,CHG,Lite-On Inc.,LTST-S220KGKT,160-1468-1-ND,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,LED GREEN CLEAR CHIP SMD R/A,
1,,32.768,X2,ECS Inc.,ECS-.327-12.5-34B-TR,XC1617CT-ND,XTAL-3.2X1.5,XTAL3215,CRYSTAL 32.7680KHZ 12.5PF SMD,
17,,,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17",ON Semiconductor,FDV303N,FDV303NCT-ND,NMOSSOT23,SOT-23,MOSFET N-CH 25V 680MA SOT-23,x
1,,SPST_SLIDE,S1,Nidec Copal Electronics,CL-SB-12B-01T,563-1318-1-ND,SPST_SLIDE,SPST_SLIDE-CL-SB-12B,SWITCH SLIDE SPDT 200MA 12V,
18,,SPST_TACT-6X6,"SW-0, SW-1, SW-2, SW-3, SW-4, SW-5, SW-6, SW-7, SW-8, SW-9, SW-C, SW-DIV, SW-DWN, SW-E, SW-MINUS, SW-MULT, SW-PLUS, SW-UP",E-Switch,TL3301SPF260QG,EG1870CT-ND,SPST_TACT-6X6,TACT_6X6,SWITCH TACTILE SPST-NO 0.05A 12V,
1,,SPX3819-3.3,U2,"MaxLinear, Inc.",SPX3819M5-L-3-3/TR,1016-1873-1-ND,VREG_SOT23-5,SOT23-5,IC REG LINEAR 3.3V 500MA SOT23-5,
1,,MCP73831T-2ACI/OT,U3,Microchip Technology,MCP73831T-2ACI/OT,MCP73831T-2ACI/OTCT-ND,MCP73831/2,SOT23-5,IC CONTROLLR LI-ION 4.2V SOT23-5,
1,,W25Q128JVSO,U5,Winbond Electronics,W25Q128JVPIM,W25Q128JVPIMCT-ND,W25Q128JVSO,SON127P800X600X80-9N,IC FLASH 128M SPI 133MHZ 8WSON,
1,,ATSAMD21G18,U4,Microchip Technology,ATSAMD21G18A,ATSAMD21G18A-AFTCT-ND,ATSAMD21J_QFP,TQFP48_7MM,IC MCU 32BIT 256KB FLASH 48TQFP,
1,,USB-MICRO,J3,Amphenol,10118192-0001LF,609-4613-1-ND,USB-MICRO,USB-10118192-0001LF,CONN USB MICRO B RECPT SMT R/A,
1,,JSTPH,J1,JST Sales America Inc.,S2B-PH-SM4-TB(LF)(SN),455-1749-1-ND,CON_JST_PH_2PIN,JSTPH2,CONN HEADER PH SIDE 2POS 2MM SMD,
1,,,J2,Molex Connector Corporation,87759-1850,WM18656-ND ,PINHD-2X9-2MM-SMD,2X09-2MM-SMD,CONN HEADER 18POS 2MM VERT SMD,
1,DNP,TC2030-IDC-NL,TC1,Tag-Connect,TC2030-IDC,,TC2030-IDC-NL,TC2030-IDC-NL,Tag-Connect In Circuit Programming & Debug Cable 6 Pin,
