Qty,DNP,Value,MFG,MPN,PN-DK,Device,Package,Parts,Description
2,,22p,Murata Electronics North America,GQM1875C2E220JB12D,490-16699-1-ND,C-USC0603,C0603,"C2, C4",CAP CER 22PF 250V NP0 0603
5,,100n,AVX Corporation,06035C104K4Z4A,478-10679-1-ND,C-USC0603,C0603,"C5, C9, C10, C11, C15",CAP CER 0.1UF 50V X7R 0603
4,,1u,TDK Corporation,C1608X7R1C105M080AC,445-5131-1-ND,C-USC0603,C0603,"C1, C7, C12, C14",CAP CER 1UF 16V X7R 0603
4,,10u,Murata Electronics North America,GRM21BR61C106KE15K,490-6473-1-ND,C-USC0805,C0805,"C3, C6, C8, C13",CAP CER 10UF 16V X5R 0805
8,,150,Yageo,RC0603FR-07150RL,311-150HRCT-ND,R-US_R0603,R0603,"R5, R6, R9, R10, R11, R12, R13, R14",RES SMD 150 OHM 1% 1/10W 0603
12,,1k,Yageo,RC0603FR-071KL,311-1.00KHRCT-ND,R-US_R0603,R0603,"R1, R2, R7, R15, R16, R17, R18, R19, R20, R21, R22, R23",RES SMD 1K OHM 1% 1/10W 0603
3,,3.3k,Yageo,RC0603FR-073K3L,311-3.30KHRCT-ND,R-US_R0603,R0603,"R3, R4, R8",RES SMD 3.3K OHM 1% 1/10W 0603
1,,MBR120,ON Semiconductor,MBR120VLSFT1G,MBR120VLSFT1GOSCT-ND,DIODE-SCHOTTKYSOD-123,SOD-123,D1,DIODE SCHOTTKY 20V 1A SOD123FL
2,,GREEN,Lite-On Inc.,LTST-C170GKT,160-1179-1-ND,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,"HB, L1",LED GREEN CLEAR SMD
1,,GREEN-RA,Lite-On Inc.,LTST-S220KGKT,160-1468-1-ND,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,CHG,LED GREEN CLEAR CHIP SMD R/A
17,,FDV303N,ON Semiconductor,FDV303N,FDV303NCT-ND,NMOSSOT23-FDV303N,SOT-23,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17",MOSFET N-CH 25V 680MA SOT-23
1,,500mA,Bel Fuse Inc.,0ZCK0050FF2E,507-1813-1-ND,R-US_R0805,R0805,F1,PTC RESET FUSE 6V 500MA 0805
1,,32.768,ECS Inc.,ECS-.327-12.5-34B-TR,XC1617CT-ND,XTAL-3.2X1.5,XTAL3215,X2,CRYSTAL 32.7680KHZ 12.5PF SMD
1,,ATSAMD21G18,Microchip Technology,ATSAMD21G18A-AUT,ATSAMD21G18A-AUTCT-ND,ATSAMD21J_QFP,TQFP48_7MM,U4,IC MCU 32BIT 256KB FLASH 48TQFP
1,,MCP73831T-2ACI/OT,Microchip Technology,MCP73831T-2ACI/OT,MCP73831T-2ACI/OTCT-ND,MCP73831/2,SOT23-5,U3,IC CONTROLLR LI-ION 4.2V SOT23-5
1,,SPX3819-3.3,"MaxLinear, Inc.",SPX3819M5-L-3-3/TR,1016-1873-1-ND,VREG_SOT23-5,SOT23-5,U2,IC REG LINEAR 3.3V 500MA SOT23-5
1,,W25Q128JVWSON_6X5,Winbond Electronics,W25Q128JVPIM,W25Q128JVPIMCT-ND,W25Q128JVWSON_6X5,SON127P600X500X80-9N,U5,IC FLASH 128M SPI 133MHZ 8WSON
1,,SPDT_SLIDE-CB-SB-12B,Nidec Copal Electronics,CL-SB-12B-01T,563-1318-1-ND,SPDT_SLIDE-CB-SB-12B,CL-SB-12B,S1,SWITCH SLIDE SPDT 200MA 12V
18,,SPST_TACT-TL3301SPF,E-Switch,TL3301SPF260QG,EG1870CT-ND,SPST_TACT-TL3301SPF,TACT_6X6,"SW-0, SW-1, SW-2, SW-3, SW-4, SW-5, SW-6, SW-7, SW-8, SW-9, SW-C, SW-DIV, SW-DWN, SW-E, SW-MINUS, SW-MULT, SW-PLUS, SW-UP",SWITCH TACTILE SPST-NO 0.05A 12V
1,,USB-MICRO,Amphenol,10118192-0001LF,609-4613-1-ND,USB-MICRO,USB-10118192-0001LF,J3,CONN USB MICRO B RECPT SMT R/A
1,,JSTPH,JST Sales America Inc.,S2B-PH-SM4-TB(LF)(SN),455-1749-1-ND,CON_JST_PH_2PIN,JSTPH2,J1,CONN HEADER 18POS 2MM VERT SMD
1,,87759-1850,Molex,87759-1850,WM18656-ND ,PINHD-2X9-2MM-SMD,2X09-2MM-SMD,J2,CONN HEADER 18POS 2MM VERT SMD
18,DNP,SW-CAP_1SXXX,E-Switch,1SWHT,EG4365-ND,SW-CAP_1SXXX,SW-CAP_1SWXXX,"SW-0_CAP, SW-1_CAP, SW-2_CAP, SW-3_CAP, SW-4_CAP, SW-5_CAP, SW-6_CAP, SW-7_CAP, SW-8_CAP, SW-9_CAP, SW-C_CAP, SW-DIV_CAP, SW-DWN_CAP, SW-E_CAP, SW-MINUS_CAP, SW-MULT_CAP, SW-PLUS_CAP, SW-UP_CAP",CAP PUSHBUTTON SQUARE
1,DNP,TC2030-IDC-NL,Tag-Connect,TC2030-IDC-NL,TC2030-IDC-NL,TC2030-IDC-NL,TC2030-IDC-NL,TC1,Tag-Connect In Circuit Programming & Debug Cable 6 Pin
